age,MonthlyIncome,TotalTimesPastDue,RevolvingUtilizationOfUnsecuredLines,DebtRatio,PD,LGD,EAD,ExpectedLoss,ExpectedLossRate,InterestRate
45,9120.0,2,0.766126609,0.802982129,0.3546910464763641,0.4,91200.0,12939.129375457762,0.14187641859054564,0.21187641859054562
40,2600.0,0,0.957151019,0.121876201,0.1013989731669426,0.75,26000.0,1977.2799767553809,0.07604922987520696,0.14604922987520694
38,3042.0,2,0.65818014,0.085113375,0.3194197028875351,0.75,30420.0,7287.560521379112,0.2395647771656513,0.30956477716565134
30,3300.0,0,0.233809776,0.036049682,0.02055467329919338,0.75,33000.0,508.72816415503615,0.015416004974395036,0.08541600497439504
49,63588.0,1,0.9072394,0.024925695,0.15050840824842454,0.4,100000.0,6020.336329936981,0.06020336329936981,0.13020336329936982
74,3500.0,0,0.213178682,0.375606969,0.008294792845845222,0.4,35000.0,116.12709984183313,0.0033179171383380893,0.07331791713833809
57,5400.0,0,0.305682465,5.0,0.025928007438778877,0.4,54000.0,560.0449606776237,0.010371202975511551,0.08037120297551155
39,3500.0,0,0.754463648,0.209940017,0.0599406972527504,0.75,35000.0,1573.443302884698,0.0449555229395628,0.11495552293956281
27,5400.0,0,0.116950644,5.0,0.01872354671359062,0.75,54000.0,758.3036419004201,0.014042660035192965,0.08404266003519296
57,23684.0,0,0.189169052,0.606290901,0.0406764380633831,0.4,100000.0,1627.057522535324,0.016270575225353242,0.08627057522535325
30,2500.0,0,0.644225962,0.30947621,0.055090755224227905,0.75,25000.0,1032.9516604542732,0.04131806641817093,0.11131806641817094
51,6501.0,0,0.01879812,0.53152876,0.011445971392095088,0.4,65010.0,297.6410400800407,0.004578388556838036,0.07457838855683804
46,12454.0,0,0.010351857,0.298354075,0.009459222387522458,0.4,100000.0,378.36889550089836,0.0037836889550089837,0.07378368895500899
40,13700.0,7,0.964672555,0.382964747,0.5503496170043946,0.4,100000.0,22013.98468017578,0.2201398468017578,0.29013984680175786
76,0.0,0,0.019656581,5.0,0.0015046663116663694,0.4,1000.0,0.6018665246665478,0.0006018665246665478,0.07060186652466655
64,11362.0,0,0.548458062,0.209891754,0.014235920831561088,0.4,100000.0,569.4368332624435,0.005694368332624436,0.07569436833262444
78,5400.0,0,0.061086118,5.0,0.0069728458765894175,0.4,54000.0,150.61347093433142,0.002789138350635767,0.07278913835063577
53,8800.0,0,0.166284079,0.18827406,0.013486503809690475,0.75,88000.0,890.1092514395713,0.010114877857267855,0.08011487785726785
43,3280.0,0,0.221812771,0.527887839,0.01872354671359062,0.4,32800.0,245.65293288230896,0.007489418685436249,0.07748941868543625
25,333.0,0,0.602794411,0.065868263,0.0420067772269249,0.75,3330.0,104.91192612424494,0.031505082920193675,0.10150508292019368
43,12300.0,0,0.200923382,0.430046338,0.01740464549511671,0.4,100000.0,696.1858198046684,0.0069618581980466845,0.07696185819804668
38,3000.0,0,0.025655677,0.475841386,0.012700583972036838,0.4,30000.0,152.40700766444206,0.005080233588814736,0.07508023358881474
39,2500.0,0,0.9999999,0.241103559,0.0857727736234665,0.75,25000.0,1608.239505439997,0.06432958021759988,0.1343295802175999
32,7916.0,0,0.075426584,0.085512189,0.011860774271190167,0.75,79160.0,704.1741684805602,0.008895580703392626,0.07889558070339263
